city,district,total_length_m
台北市,中山區,685379.0
台北市,中正區,458565.0
台北市,信義區,143781.0
台北市,內湖區,30851.0
台北市,北投區,33334.0
台北市,南港區,70696.0
台北市,士林區,58245.0
台北市,大同區,413031.0
台北市,大安區,450703.0
台北市,文山區,155283.0
台北市,松山區,294446.0
台北市,萬華區,904941.0
新北市,三峽區,1285.96
新北市,三重區,12047.72
新北市,中和區,22195.5
新北市,五股區,1310.09
新北市,八里區,230.88
新北市,土城區,10352.529999999999
新北市,新店區,12012.3
新北市,新莊區,18596.05
新北市,板橋區,26792.8
新北市,林口區,0.0
新北市,樹林區,1925.69
新北市,永和區,22035.44
新北市,汐止區,5476.89
新北市,泰山區,987.53
新北市,淡水區,1000.28
新北市,深坑區,1061.0
新北市,瑞芳區,491.15999999999997
新北市,蘆洲區,5545.06
新北市,貢寮區,332.0
新北市,鶯歌區,856.69
