city,year,city_total_m
台北市,1991.0,250.0
台北市,1992.0,675.0
台北市,1993.0,15332.0
台北市,1994.0,17720.0
台北市,1995.0,230644.0
台北市,1996.0,1039467.0
台北市,1997.0,1121618.0
台北市,1998.0,843297.0
台北市,1999.0,429576.0
新北市,2010.0,3063.0
新北市,2011.0,7265.0
新北市,2012.0,16950.0
新北市,2013.0,33239.0
新北市,2014.0,20933.0
新北市,2015.0,20592.0
新北市,2016.0,14071.0
新北市,2017.0,13096.0
新北市,2018.0,4000.4500000000003
新北市,2019.0,4513.59
新北市,2020.0,1994.6299999999999
新北市,2021.0,2079.07
新北市,2022.0,1572.4300000000003
新北市,2023.0,1386.79
新北市,2024.0,1166.3999999999999
