city,district,year,length_m
台北市,中山區,1992.0,420.0
台北市,中山區,1993.0,2583.0
台北市,中山區,1994.0,5415.0
台北市,中山區,1995.0,5298.0
台北市,中山區,1996.0,226637.0
台北市,中山區,1997.0,220189.0
台北市,中山區,1998.0,219649.0
台北市,中山區,1999.0,5188.0
台北市,中正區,1991.0,150.0
台北市,中正區,1993.0,530.0
台北市,中正區,1994.0,2488.0
台北市,中正區,1995.0,183581.0
台北市,中正區,1996.0,207973.0
台北市,中正區,1997.0,2457.0
台北市,中正區,1998.0,25711.0
台北市,中正區,1999.0,35675.0
台北市,信義區,1995.0,7954.0
台北市,信義區,1996.0,50735.0
台北市,信義區,1997.0,8381.0
台北市,信義區,1998.0,75647.0
台北市,信義區,1999.0,1064.0
台北市,內湖區,1995.0,5960.0
台北市,內湖區,1997.0,95.0
台北市,內湖區,1999.0,24796.0
台北市,北投區,1995.0,133.0
台北市,北投區,1996.0,15645.0
台北市,北投區,1997.0,1616.0
台北市,北投區,1998.0,7428.0
台北市,北投區,1999.0,8512.0
台北市,南港區,1995.0,334.0
台北市,南港區,1996.0,3002.0
台北市,南港區,1997.0,23166.0
台北市,南港區,1998.0,4528.0
台北市,南港區,1999.0,39666.0
台北市,士林區,1993.0,423.0
台北市,士林區,1994.0,1188.0
台北市,士林區,1995.0,5846.0
台北市,士林區,1996.0,10220.0
台北市,士林區,1997.0,22924.0
台北市,士林區,1998.0,16968.0
台北市,大同區,1993.0,2102.0
台北市,大同區,1994.0,7078.0
台北市,大同區,1995.0,3096.0
台北市,大同區,1996.0,165400.0
台北市,大同區,1997.0,36839.0
台北市,大同區,1998.0,196636.0
台北市,大同區,1999.0,1880.0
台北市,大安區,1992.0,255.0
台北市,大安區,1994.0,1155.0
台北市,大安區,1995.0,2529.0
台北市,大安區,1996.0,168388.0
台北市,大安區,1997.0,194106.0
台北市,大安區,1998.0,66230.0
台北市,大安區,1999.0,18040.0
台北市,文山區,1995.0,280.0
台北市,文山區,1996.0,4920.0
台北市,文山區,1998.0,147620.0
台北市,文山區,1999.0,2463.0
台北市,松山區,1991.0,100.0
台北市,松山區,1993.0,9000.0
台北市,松山區,1996.0,96849.0
台北市,松山區,1997.0,5970.0
台北市,松山區,1998.0,44579.0
台北市,松山區,1999.0,137948.0
台北市,萬華區,1993.0,694.0
台北市,萬華區,1994.0,396.0
台北市,萬華區,1995.0,15633.0
台北市,萬華區,1996.0,89698.0
台北市,萬華區,1997.0,605875.0
台北市,萬華區,1998.0,38301.0
台北市,萬華區,1999.0,154344.0
新北市,三峽區,2010.0,0.0
新北市,三峽區,2011.0,0.0
新北市,三峽區,2012.0,0.0
新北市,三峽區,2013.0,0.0
新北市,三峽區,2014.0,0.0
新北市,三峽區,2015.0,0.0
新北市,三峽區,2016.0,0.0
新北市,三峽區,2017.0,1187.17
新北市,三峽區,2018.0,0.0
新北市,三峽區,2019.0,98.79
新北市,三峽區,2020.0,0.0
新北市,三峽區,2021.0,0.0
新北市,三峽區,2022.0,0.0
新北市,三峽區,2023.0,0.0
新北市,三峽區,2024.0,0.0
新北市,三重區,2010.0,0.0
新北市,三重區,2011.0,0.0
新北市,三重區,2012.0,1015.0
新北市,三重區,2013.0,4684.0
新北市,三重區,2014.0,696.0
新北市,三重區,2015.0,2378.0
新北市,三重區,2016.0,724.0
新北市,三重區,2017.0,1476.02
新北市,三重區,2018.0,832.73
新北市,三重區,2019.0,218.01
新北市,三重區,2020.0,14.89
新北市,三重區,2021.0,9.07
新北市,三重區,2022.0,0.0
新北市,三重區,2023.0,52.43
新北市,三重區,2024.0,0.0
新北市,中和區,2010.0,0.0
新北市,中和區,2011.0,1241.0
新北市,中和區,2012.0,617.0
新北市,中和區,2013.0,5531.0
新北市,中和區,2014.0,2892.0
新北市,中和區,2015.0,2871.0
新北市,中和區,2016.0,2547.0
新北市,中和區,2017.0,3235.55
新北市,中和區,2018.0,2231.01
新北市,中和區,2019.0,375.13
新北市,中和區,2020.0,189.89
新北市,中和區,2021.0,170.64000000000001
新北市,中和區,2022.0,220.41000000000003
新北市,中和區,2023.0,307.26000000000005
新北市,中和區,2024.0,73.87
新北市,五股區,2010.0,0.0
新北市,五股區,2011.0,0.0
新北市,五股區,2012.0,0.0
新北市,五股區,2013.0,0.0
新北市,五股區,2014.0,0.0
新北市,五股區,2015.0,500.0
新北市,五股區,2016.0,0.0
新北市,五股區,2017.0,752.51
新北市,五股區,2018.0,0.0
新北市,五股區,2019.0,57.58
