city,district,walk_length_m,walk_length_km
台北市,士林區,352739.23546428443,352.74
台北市,北投區,345239.87330615666,345.24
台北市,文山區,301265.5131351002,301.27
台北市,內湖區,218069.7018071786,218.07
台北市,大安區,203056.33957723604,203.06
台北市,中山區,177760.8378698991,177.76
台北市,中正區,167858.17856312337,167.86
台北市,南港區,162562.32529244004,162.56
台北市,信義區,152748.02704235382,152.75
台北市,松山區,130278.83661837327,130.28
台北市,萬華區,81340.41458884277,81.34
台北市,大同區,57578.00766712401,57.58
新北市,烏來區,359919.51401935396,359.92
新北市,三峽區,342991.04502856865,342.99
新北市,雙溪區,335988.3350696025,335.99
新北市,瑞芳區,271585.1169483387,271.59
新北市,坪林區,254701.0699912674,254.7
新北市,新店區,238654.92804124378,238.65
新北市,石碇區,238623.53603141976,238.62
新北市,平溪區,191608.40419501608,191.61
新北市,貢寮區,186044.78250034634,186.04
新北市,汐止區,180082.24184492568,180.08
新北市,淡水區,135610.49685544503,135.61
新北市,板橋區,132739.2216709092,132.74
新北市,萬里區,118074.87351788429,118.07
新北市,樹林區,111265.73037380181,111.27
新北市,三重區,107467.95552936397,107.47
新北市,土城區,105371.04244916304,105.37
新北市,新莊區,105329.99198970503,105.33
新北市,林口區,104954.03546969459,104.95
新北市,三芝區,83155.62853783976,83.16
新北市,金山區,74549.53864036064,74.55
新北市,深坑區,67458.35353792625,67.46
新北市,中和區,64998.38991285716,65.0
新北市,五股區,44142.41494165838,44.14
新北市,八里區,43020.877756110975,43.02
新北市,鶯歌區,42315.54457933997,42.32
新北市,石門區,41095.51038918234,41.1
新北市,泰山區,31757.896326932703,31.76
新北市,永和區,26545.56747777783,26.55
新北市,蘆洲區,20747.3900110946,20.75
